Date Local,CountryCode,City,Site Num,SO2,NO2,CO,O3
01/01/2005,5.0,New York,83.0,15.666667,24.25,0.658333,0.006167
01/01/2005,5.0,New York,83.0,15.666667,24.25,0.663158,0.006167
01/01/2005,5.0,New York,83.0,15.65,24.25,0.658333,0.006167
01/01/2005,5.0,New York,83.0,15.65,24.25,0.663158,0.006167
02/01/2005,5.0,New York,83.0,9.75,22.458333,0.591667,0.0055
02/01/2005,5.0,New York,83.0,9.75,22.458333,0.570833,0.0055
02/01/2005,5.0,New York,83.0,9.7125,22.458333,0.591667,0.0055
02/01/2005,5.0,New York,83.0,9.7125,22.458333,0.570833,0.0055
03/01/2005,5.0,New York,83.0,19.583333,28.5,1.008333,0.000458
03/01/2005,5.0,New York,83.0,19.583333,28.5,0.95,0.000458
03/01/2005,5.0,New York,83.0,19.55,28.5,1.008333,0.000458
03/01/2005,5.0,New York,83.0,19.55,28.5,0.95,0.000458
04/01/2005,5.0,New York,83.0,11.333333,30.291667,0.841667,0.004875
04/01/2005,5.0,New York,83.0,11.333333,30.291667,0.891667,0.004875
04/01/2005,5.0,New York,83.0,11.3,30.291667,0.841667,0.004875
04/01/2005,5.0,New York,83.0,11.3,30.291667,0.891667,0.004875
05/01/2005,5.0,New York,83.0,8.217391,23.809524,0.6625,0.005042
05/01/2005,5.0,New York,83.0,8.217391,23.809524,0.695833,0.005042
05/01/2005,5.0,New York,83.0,8.371429,23.809524,0.6625,0.005042
05/01/2005,5.0,New York,83.0,8.371429,23.809524,0.695833,0.005042
06/01/2005,5.0,New York,83.0,8.333333,23.47619,0.626087,8.0
06/01/2005,5.0,New York,83.0,8.333333,23.47619,0.595833,8.0
06/01/2005,5.0,New York,83.0,8.3125,23.47619,0.626087,8.0
06/01/2005,5.0,New York,83.0,8.3125,23.47619,0.595833,8.0
07/01/2005,5.0,New York,83.0,13.833333,27.75,0.645833,0.008833
07/01/2005,5.0,New York,83.0,13.833333,27.75,0.679167,0.008833
07/01/2005,5.0,New York,83.0,13.8,27.75,0.645833,0.008833
07/01/2005,5.0,New York,83.0,13.8,27.75,0.679167,0.008833
08/01/2005,5.0,New York,83.0,13.416667,34.708333,0.795833,0.00175
08/01/2005,5.0,New York,83.0,13.416667,34.708333,0.7875,0.00175
08/01/2005,5.0,New York,83.0,13.3875,34.708333,0.795833,0.00175
08/01/2005,5.0,New York,83.0,13.3875,34.708333,0.7875,0.00175
09/01/2005,5.0,New York,83.0,11125.0,24.583333,0.633333,0.008792
09/01/2005,5.0,New York,83.0,11125.0,24.583333,0.65,0.008792
09/01/2005,5.0,New York,83.0,11.1,24.583333,0.633333,0.008792
09/01/2005,5.0,New York,83.0,11.1,24.583333,0.65,0.008792
10/01/2005,5.0,New York,83.0,16.782609,28.304348,0.7125,0.004583
10/01/2005,5.0,New York,83.0,16.782609,28.304348,0.7125,0.004583
10/01/2005,5.0,New York,83.0,15.857143,28.304348,0.7125,0.004583
10/01/2005,5.0,New York,83.0,15.857143,28.304348,0.7125,0.004583
11/01/2005,5.0,New York,83.0,11.5,24.791667,0.641667,0.010375
11/01/2005,5.0,New York,83.0,11.5,24.791667,0.666667,0.010375
11/01/2005,5.0,New York,83.0,11.4625,24.791667,0.641667,0.010375
11/01/2005,5.0,New York,83.0,11.4625,24.791667,0.666667,0.010375
12/01/2005,5.0,New York,83.0,6.291667,22.708333,0.633333,9.0
12/01/2005,5.0,New York,83.0,6.291667,22.708333,0.629167,9.0
12/01/2005,5.0,New York,83.0,6275.0,22.708333,0.633333,9.0
12/01/2005,5.0,New York,83.0,6275.0,22.708333,0.629167,9.0
13/01/2005,5.0,New York,83.0,8125.0,30.416667,0.908333,0.00225
13/01/2005,5.0,New York,83.0,8125.0,30.416667,0.904167,0.00225
13/01/2005,5.0,New York,83.0,8.0875,30.416667,0.908333,0.00225
13/01/2005,5.0,New York,83.0,8.0875,30.416667,0.904167,0.00225
14/01/2005,5.0,New York,83.0,9.416667,24125.0,0.673913,0.012458
14/01/2005,5.0,New York,83.0,9.416667,24125.0,0.7,0.012458
14/01/2005,5.0,New York,83.0,9.3875,24125.0,0.673913,0.012458
14/01/2005,5.0,New York,83.0,9.3875,24125.0,0.7,0.012458
15/01/2005,5.0,New York,83.0,12.208333,24.25,0.616667,0.011125
15/01/2005,5.0,New York,83.0,12.208333,24.25,0.6,0.011125
